Date ,Open ,High ,Low ,Close ,Adj Close ,Volume 
19-Dec-23,5450.00,5550.00,5450.00,5550.00,4818.84,135207300
20-Dec-23,5700.00,5700.00,5550.00,5550.00,4818.84,138470900
21-Dec-23,5550.00,5600.00,5525.00,5575.00,4840.54,99049600
22-Dec-23,5650.00,5700.00,5600.00,5675.00,4927.37,109411300
27-Dec-23,5700.00,5725.00,5625.00,5625.00,4883.96,122236700
28-Dec-23,5700.00,5750.00,5675.00,5725.00,4970.78,121434600
29-Dec-23,5750.00,5750.00,5675.00,5725.00,4970.78,93126000
2-Jan-24,5650.00,5675.00,5625.00,5675.00,5000.74,91143100
3-Jan-24,5625.00,5650.00,5600.00,5600.00,4934.65,83659700
4-Jan-24,5600.00,5700.00,5575.00,5700.00,5022.77,92683500
5-Jan-24,5725.00,5850.00,5700.00,5750.00,5066.83,134929600
8-Jan-24,5750.00,5800.00,5625.00,5625.00,4956.68,152015000
9-Jan-24,5625.00,5700.00,5625.00,5700.00,5022.77,105666200
10-Jan-24,5625.00,5700.00,5625.00,5700.00,5022.77,82626400
11-Jan-24,5750.00,5800.00,5700.00,5750.00,5066.83,116804400
12-Jan-24,5800.00,5850.00,5775.00,5850.00,5154.95,109715700
15-Jan-24,5850.00,5900.00,5775.00,5825.00,5132.92,115126700
16-Jan-24,5825.00,5875.00,5775.00,5825.00,5132.92,97074300
17-Jan-24,5825.00,5825.00,5750.00,5775.00,5088.86,107941600
18-Jan-24,5800.00,5800.00,5700.00,5750.00,5066.83,87259100
19-Jan-24,5750.00,5800.00,5700.00,5800.00,5110.89,75370700
22-Jan-24,5775.00,5800.00,5700.00,5775.00,5088.86,97545600
23-Jan-24,5700.00,5750.00,5650.00,5700.00,5022.77,122999700
24-Jan-24,5675.00,5700.00,5575.00,5650.00,4978.71,104225000
25-Jan-24,5575.00,5650.00,5525.00,5525.00,4868.57,120478800
26-Jan-24,5450.00,5475.00,5400.00,5425.00,4780.45,185244400
29-Jan-24,5400.00,5575.00,5400.00,5575.00,4912.62,145629600
30-Jan-24,5525.00,5650.00,5475.00,5625.00,4956.68,150513700
31-Jan-24,5725.00,5775.00,5675.00,5700.00,5022.77,245117200
1-Feb-24,5775.00,5800.00,5725.00,5750.00,5066.83,156633900
2-Feb-24,5800.00,5850.00,5750.00,5850.00,5154.95,177209700
5-Feb-24,5800.00,5825.00,5750.00,5775.00,5088.86,113760000
6-Feb-24,5900.00,5900.00,5800.00,5825.00,5132.92,126704300
7-Feb-24,5850.00,5900.00,5825.00,5850.00,5154.95,147005300
12-Feb-24,5875.00,6025.00,5850.00,6025.00,5309.16,171514600
13-Feb-24,6050.00,6050.00,5950.00,6000.00,5287.13,145852200
15-Feb-24,6275.00,6275.00,6100.00,6125.00,5397.28,308685100
16-Feb-24,6150.00,6200.00,6125.00,6150.00,5419.31,130814400
19-Feb-24,6125.00,6175.00,6075.00,6100.00,5375.25,111382900
20-Feb-24,6175.00,6300.00,6175.00,6300.00,5551.49,160872600
21-Feb-24,6325.00,6375.00,6225.00,6300.00,5551.49,168423000
22-Feb-24,6250.00,6300.00,6225.00,6250.00,5507.43,100256000
23-Feb-24,6125.00,6175.00,6050.00,6125.00,5397.28,148643000
26-Feb-24,6100.00,6200.00,6075.00,6175.00,5441.34,98920800
27-Feb-24,6125.00,6200.00,6125.00,6125.00,5397.28,99187500
28-Feb-24,6100.00,6225.00,6100.00,6225.00,5485.40,97236700
29-Feb-24,6150.00,6200.00,6125.00,6125.00,5397.28,173774600
1-Mar-24,6175.00,6175.00,6075.00,6125.00,5397.28,76286400
4-Mar-24,6125.00,6125.00,6050.00,6050.00,5331.19,70354900
5-Mar-24,6100.00,6175.00,6075.00,6125.00,5397.28,115084600
6-Mar-24,6100.00,6200.00,6100.00,6200.00,5463.37,84108800
7-Mar-24,6200.00,6275.00,6200.00,6225.00,5485.40,117724700
8-Mar-24,6275.00,6400.00,6250.00,6350.00,5595.55,163060000
13-Mar-24,6350.00,6450.00,6350.00,6400.00,5639.61,195173100
14-Mar-24,6175.00,6200.00,6050.00,6150.00,5625.88,271254000
15-Mar-24,6000.00,6075.00,5950.00,5975.00,5465.80,305995800
18-Mar-24,6000.00,6100.00,5975.00,6000.00,5488.67,110564700
19-Mar-24,6000.00,6050.00,5975.00,6000.00,5488.67,114338600
20-Mar-24,6000.00,6100.00,6000.00,6100.00,5580.14,120885400
21-Mar-24,6175.00,6200.00,6100.00,6100.00,5580.14,136020000
22-Mar-24,6050.00,6125.00,6050.00,6125.00,5603.01,46529200
25-Mar-24,6250.00,6250.00,6125.00,6250.00,5717.36,115729600
26-Mar-24,6300.00,6300.00,6200.00,6300.00,5763.10,120748400
27-Mar-24,6300.00,6325.00,6225.00,6250.00,5717.36,73308900
28-Mar-24,6100.00,6200.00,6025.00,6050.00,5534.41,288926900
1-Apr-24,6000.00,6025.00,5825.00,5925.00,5420.06,217207800
2-Apr-24,5850.00,5950.00,5625.00,5675.00,5191.36,412180900
3-Apr-24,5575.00,5675.00,5525.00,5625.00,5145.63,333518700
4-Apr-24,5650.00,5750.00,5650.00,5700.00,5214.23,131936100
5-Apr-24,5625.00,5700.00,5625.00,5650.00,5168.49,178817800
16-Apr-24,5375.00,5575.00,5350.00,5350.00,4894.06,600717500
17-Apr-24,5475.00,5500.00,5300.00,5300.00,4848.32,244002000
18-Apr-24,5300.00,5500.00,5300.00,5475.00,5008.41,247410700
19-Apr-24,5350.00,5375.00,5250.00,5275.00,4825.45,258211500
22-Apr-24,5200.00,5325.00,5150.00,5300.00,4848.32,342282800
23-Apr-24,5350.00,5400.00,5225.00,5300.00,4848.32,281403100
24-Apr-24,5250.00,5350.00,5150.00,5225.00,4779.71,471241400
25-Apr-24,5125.00,5200.00,5050.00,5150.00,4711.11,479170900
26-Apr-24,5050.00,5100.00,4830.00,4830.00,4418.38,782589900
29-Apr-24,4700.00,4890.00,4680.00,4770.00,4363.49,700644800
30-Apr-24,4850.00,5050.00,4820.00,4940.00,4519.00,565609200
2-May-24,4910.00,4920.00,4700.00,4760.00,4354.34,636922100
3-May-24,4760.00,4830.00,4710.00,4750.00,4345.19,321697200
6-May-24,4800.00,4840.00,4730.00,4790.00,4381.79,262707400
7-May-24,4770.00,4780.00,4670.00,4670.00,4272.01,304013600
8-May-24,4650.00,4740.00,4570.00,4680.00,4281.16,572275800
13-May-24,4650.00,4700.00,4630.00,4680.00,4281.16,320067100
14-May-24,4720.00,4810.00,4700.00,4730.00,4326.90,341458900
15-May-24,4780.00,4870.00,4760.00,4820.00,4409.23,298990300
16-May-24,4930.00,4960.00,4840.00,4840.00,4427.52,371295000
17-May-24,4840.00,4960.00,4820.00,4920.00,4500.71,208991800
20-May-24,4990.00,5050.00,4820.00,4820.00,4409.23,335150700
21-May-24,4810.00,4870.00,4680.00,4680.00,4281.16,271568800
22-May-24,4650.00,4770.00,4650.00,4720.00,4317.75,215066000
27-May-24,4700.00,4720.00,4550.00,4550.00,4162.24,363719300
28-May-24,4580.00,4630.00,4520.00,4530.00,4143.94,258070200
29-May-24,4480.00,4500.00,4400.00,4410.00,4034.17,465008500
30-May-24,4400.00,4480.00,4310.00,4380.00,4006.73,502927800
31-May-24,4430.00,4470.00,4330.00,4340.00,3970.14,655144100
3-Jun-24,4430.00,4560.00,4400.00,4530.00,4143.94,345770100
4-Jun-24,4560.00,4590.00,4450.00,4450.00,4070.76,332902200
5-Jun-24,4500.00,4500.00,4400.00,4400.00,4025.02,240788500
6-Jun-24,4450.00,4500.00,4390.00,4500.00,4116.50,281534200
7-Jun-24,4490.00,4500.00,4350.00,4350.00,3979.28,375439600
10-Jun-24,4350.00,4430.00,4320.00,4400.00,4025.02,181387000
11-Jun-24,4380.00,4440.00,4340.00,4340.00,3970.14,197854400
12-Jun-24,4340.00,4360.00,4310.00,4350.00,3979.28,187332500
13-Jun-24,4400.00,4420.00,4300.00,4310.00,3942.69,238349600
14-Jun-24,4300.00,4320.00,4170.00,4180.00,3823.77,358893200
19-Jun-24,4100.00,4240.00,4090.00,4100.00,3750.59,410338400
20-Jun-24,4130.00,4270.00,4130.00,4270.00,3906.10,387133400
21-Jun-24,4280.00,4490.00,4260.00,4440.00,4061.61,532713300
24-Jun-24,4440.00,4510.00,4400.00,4400.00,4025.02,303830800
25-Jun-24,4320.00,4400.00,4280.00,4380.00,4006.73,383572500
26-Jun-24,4390.00,4430.00,4350.00,4370.00,3997.58,150303400
27-Jun-24,4410.00,4500.00,4380.00,4460.00,4079.91,299430600
28-Jun-24,4590.00,4640.00,4580.00,4600.00,4207.98,581319300
1-Jul-24,4630.00,4670.00,4560.00,4630.00,4235.42,261421200
2-Jul-24,4610.00,4630.00,4570.00,4570.00,4180.53,234403100
3-Jul-24,4630.00,4640.00,4560.00,4600.00,4207.98,176310400
4-Jul-24,4680.00,4830.00,4660.00,4790.00,4381.79,422261500
5-Jul-24,4850.00,4870.00,4790.00,4800.00,4390.93,218278000
8-Jul-24,4800.00,4830.00,4740.00,4750.00,4345.19,222042100
9-Jul-24,4780.00,4930.00,4750.00,4870.00,4454.97,291320400
10-Jul-24,4870.00,4920.00,4840.00,4850.00,4436.67,167619700
11-Jul-24,4910.00,4920.00,4840.00,4840.00,4427.52,170461300
12-Jul-24,4970.00,4980.00,4880.00,4900.00,4482.41,301125400
15-Jul-24,4920.00,4930.00,4810.00,4820.00,4409.23,188713000
16-Jul-24,4820.00,4840.00,4730.00,4730.00,4326.90,189271400
17-Jul-24,4750.00,4810.00,4720.00,4760.00,4354.34,263325400
18-Jul-24,4760.00,4890.00,4750.00,4890.00,4473.26,296614900
19-Jul-24,4870.00,4910.00,4850.00,4900.00,4482.41,135104800
22-Jul-24,4920.00,4940.00,4880.00,4910.00,4491.56,140128300
23-Jul-24,4900.00,4910.00,4780.00,4790.00,4381.79,170919500
24-Jul-24,4770.00,4800.00,4760.00,4780.00,4372.64,116037600
25-Jul-24,4760.00,4760.00,4660.00,4700.00,4299.46,274397700
26-Jul-24,4760.00,4810.00,4740.00,4760.00,4354.34,192267300
29-Jul-24,4800.00,4800.00,4760.00,4780.00,4372.64,126109900
30-Jul-24,4720.00,4740.00,4670.00,4670.00,4272.01,201835700
31-Jul-24,4650.00,4710.00,4650.00,4670.00,4272.01,168490300
1-Aug-24,4710.00,4750.00,4690.00,4750.00,4345.19,169636700
2-Aug-24,4730.00,4750.00,4690.00,4710.00,4308.60,113328400
5-Aug-24,4660.00,4670.00,4510.00,4530.00,4143.94,329430900
6-Aug-24,4550.00,4650.00,4520.00,4600.00,4207.98,238051800
7-Aug-24,4640.00,4640.00,4590.00,4620.00,4226.27,125937500
8-Aug-24,4600.00,4690.00,4590.00,4660.00,4262.86,131343400
9-Aug-24,4700.00,4730.00,4670.00,4670.00,4272.01,98730900
